(u'polarhuiyu', 0.01016472569835706)
(u'alrd', 0.009615281066013434)
(u'naiveprincesss', 0.008352985645872857)
(u'Tomatocutie', 0.00728014137855303)
(u'devita', 0.005357085165350343)
(u'xnurardinix', 0.004670279374920812)
(u'oso', 0.004258195900663092)
(u'showered', 0.004258195900663092)
(u'Shoppers', 0.0033603965242017244)
(u'Lot', 0.0033603965242017244)
(u'shower', 0.0032666364770169826)
(u'Teckwhye', 0.003159306635975843)
(u'agn', 0.003159306635975843)
(u'fr', 0.003145820548593287)
(u'\U0001f60c', 0.003142586990547983)
(u'\u270b', 0.002883668836210513)
(u'ltr', 0.002784328548624286)
(u'ParanoiaKid_', 0.002335139687460406)
(u'taohuix_', 0.0022082605730468475)
(u'fcuk', 0.0021977785293744996)
(u'havent', 0.0021977785293744996)
(u'Florxl_Printx', 0.0021122492437839415)
(u'tintedxsouls_', 0.0019202265852581286)
(u'rlly', 0.0018350619866794175)
(u'gdnight', 0.0017856950551167808)
(u'lt', 0.0017366928105659906)
(u'sdjyx', 0.0017282039267323154)
(u'tbh', 0.0016539931529199912)
(u'Secondary', 0.001638448202392337)
(u'\U0001f44c', 0.0016126433240969914)
(u'\U0001f609', 0.0015299436664509918)
(u'mayb', 0.0015109727389449683)
(u'\U0001f624', 0.0015109727389449683)
(u'btr', 0.0015109727389449683)
(u'Mall', 0.0014472440088049922)
(u'\U0001f48b', 0.0014058941799819926)
(u'gg', 0.0014058941799819926)
(u'OrdinaryJH', 0.0013736115808590623)
(u'hse', 0.0013736115808590623)
(u'goodmorning', 0.0013736115808590623)
(u'w/', 0.0013645443511589928)
(u'zz', 0.0013645443511589928)
(u'\U0001f613', 0.0013441586096806899)
(u'\u203c\ufe0f', 0.0012481472804177834)
(u'\U0001f498', 0.0012481472804177834)
(u'yessie', 0.0012362504227731558)
(u'aunt', 0.001152135951154877)
(u'tycwy', 0.001152135951154877)
(u'\U0001f625', 0.0010561246218919707)
(u'irritating', 0.0010561246218919707)
(u'v', 0.0009923958917519946)
(u'nvr', 0.0009923958917519946)
(u'lens', 0.0009830689214354023)
(u'Teck', 0.0009615281066013435)
(u'LionelLim__', 0.0009615281066013435)
(u'ard', 0.0009601132926290643)
(u'uh', 0.0009096962341059951)
(u'bc', 0.0008683464052829953)
(u'ik', 0.0008641019633661577)
(u'cramps', 0.0008641019633661577)
(u'awww', 0.0008641019633661577)
(u'Jubilantkid', 0.0008641019633661577)
(u'\U0001f335', 0.0008519930652440152)
(u'\U0001f481', 0.0008269965764599956)
(u'SIA', 0.0008269965764599956)
(u'HaoJunAhBai', 0.0008241669485154373)
(u'eng', 0.0008241669485154373)
(u'naiveprincesss\u201d', 0.0008241669485154373)
(u'massie', 0.0008241669485154373)
(u'hun', 0.0008241669485154373)
(u'\u2714\ufe0f', 0.0008241669485154373)
(u'ALRD', 0.0008241669485154373)
(u'urself', 0.0008241669485154373)
(u'cck', 0.0008241669485154373)
(u'Jasoonn_ZJ', 0.0008241669485154373)
(u'leyh', 0.0008241669485154373)
(u'blowdry', 0.0008241669485154373)
(u'sdotyong', 0.0008241669485154373)
(u'csjhx', 0.0008241669485154373)
(u'ohhh', 0.0008241669485154373)
(u'_xilix', 0.0008241669485154373)
(u'\U0001f61a', 0.0007864551371483217)
(u'didnt', 0.0007864551371483217)
(u'\U0001f496', 0.0007856467476369958)
(u'outfit', 0.0007680906341032514)
(u'homed', 0.0007680906341032514)
(u'wth', 0.0007029470899909963)
(u'yala', 0.0006868057904295311)
(u'ddr', 0.0006868057904295311)
(u'slipper', 0.0006868057904295311)
(u'Feliceongg_x', 0.0006868057904295311)
(u'\U0001f44a', 0.0006720793048403449)
(u'smrt_singapore', 0.0006720793048403449)
(u'fourfeetall', 0.0006720793048403449)
(u'koi', 0.0006720793048403449)
(u'yknow', 0.0006720793048403449)
(u'hahahah', 0.0006720793048403449)
(u'xlipslock_', 0.0006720793048403449)
(u'apps', 0.0006615972611679964)
(u'vanessatanxx', 0.0006553792809569348)
(u'swagblankeys', 0.0006553792809569348)
(u'//', 0.0006202474323449967)
(u'ws', 0.0005898413528612412)
(u'dnt', 0.0005898413528612412)
(u'idw', 0.0005898413528612412)
(u'\U0001f602\U0001f602\U0001f602\U0001f602', 0.0005788976035219969)
(u'charge', 0.0005760679755774385)
(u'\u270c\ufe0f', 0.0005760679755774385)
(u'obv', 0.0005760679755774385)
(u'jlwyx_', 0.0005760679755774385)
(u'idl', 0.0005760679755774385)
(u'OMFG', 0.0005760679755774385)
(u'kenna', 0.0005760679755774385)
(u'haojunahbai', 0.0005494446323436249)
(u'x_kaixin', 0.0005494446323436249)
(u'fffffel_', 0.0005494446323436249)
(u'\U0001f602\U0001f612', 0.0005494446323436249)
(u'NS1/EW24', 0.0005494446323436249)
(u'\U0001f483', 0.0005494446323436249)
(u'kkk', 0.0005494446323436249)
(u'lionellim__', 0.0005494446323436249)
(u'Dan_kmt', 0.0005494446323436249)
(u'canteen', 0.0005494446323436249)
(u'nxrxlnadiah', 0.0005494446323436249)
(u'EzzaPauzi', 0.0005494446323436249)
(u'sth', 0.0005494446323436249)
(u'Cutebigboy_', 0.0005494446323436249)
(u'\U0001f60d\u203c\ufe0f', 0.0005494446323436249)
